"",""
"Action","Action"
"Add Email","Add Email"
"An error occurred while updating the emails.","An error occurred while updating the emails."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find email to delete.","Could not find email to delete."
"Created at","Created at"
"Delete Email","Delete Email"
"Delete","Delete"
"Disabled","Disabled"
"Edit Email '%s'","Edit Email '%s'"
"Edit","Edit"
"Email was saved","Email was saved"
"Email was successfully deleted.","Email was successfully deleted."
"Email was successfully saved","Email was successfully saved"
"Email","Email"
"Emails","Emails"
"Enabled","Enabled"
"Error saving email","Error saving email"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select emails to delete.","Please select emails to delete."
"Please select emails.","Please select emails."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Email","Save Email"
"Status","Status"
"Store views","Store views"
"The emails has been deleted.","The emails has been deleted."
"There was a problem saving the email.","There was a problem saving the email."
"There was an error deleting email.","There was an error deleting email."
"There was an error deleting emails.","There was an error deleting emails."
"There was an error updating emails.","There was an error updating emails."
"This email no longer exists.","This email no longer exists."
"Total of %d emails were successfully deleted.","Total of %d emails were successfully deleted."
"Total of %d emails were successfully updated.","Total of %d emails were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find email to save.","Unable to find email to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
"email","email"